name,prefix,steps,nL,ns,gcd,L_edsteps,s_edsteps,add_depth,Ls_ratio,hardness,ed,genL,gens,gen_edsteps,skew,depth
subaric,subar-,8,2,6,2,4,1,3,4:1,superhard,14,1,2,6,0.857143,2
subaric,subar-,8,2,6,2,4,3,3,4:3,supersoft,26,1,2,10,0.769231,2
subaric,subar-,8,2,6,2,5,2,3,5:2,semihard,22,1,2,9,0.818182,2
subaric,subar-,8,2,6,2,5,3,3,5:3,semisoft,28,1,2,11,0.785714,2
checkertonic,check-,8,3,5,1,1,1,0,1:1,equalized,8,2,3,5,0.625000,3
checkertonic,check-,8,3,5,1,2,1,1,2:1,basic,11,2,3,7,0.636364,3
checkertonic,check-,8,3,5,1,3,1,2,3:1,hard,14,2,3,9,0.642857,3
checkertonic,check-,8,3,5,1,3,2,2,3:2,soft,19,2,3,12,0.631579,3
checkertonic,check-,8,3,5,1,4,1,3,4:1,superhard,17,2,3,11,0.647059,3
checkertonic,check-,8,3,5,1,4,3,3,4:3,supersoft,27,2,3,17,0.629630,3
checkertonic,check-,8,3,5,1,5,2,3,5:2,semihard,25,2,3,16,0.640000,3
checkertonic,check-,8,3,5,1,5,3,3,5:3,semisoft,30,2,3,19,0.633333,3
tetrawood,tetrawd-,8,4,4,4,1,1,0,1:1,equalized,8,1,0,1,0.500000,0
tetrawood,tetrawd-,8,4,4,4,2,1,1,2:1,basic,12,1,0,2,0.666667,0
tetrawood,tetrawd-,8,4,4,4,3,1,2,3:1,hard,16,1,0,3,0.750000,0
tetrawood,tetrawd-,8,4,4,4,3,2,2,3:2,soft,20,1,0,3,0.600000,0
tetrawood,tetrawd-,8,4,4,4,4,1,3,4:1,superhard,20,1,0,4,0.800000,0
tetrawood,tetrawd-,8,4,4,4,4,3,3,4:3,supersoft,28,1,0,4,0.571429,0
tetrawood,tetrawd-,8,4,4,4,5,2,3,5:2,semihard,28,1,0,5,0.714286,0
tetrawood,tetrawd-,8,4,4,4,5,3,3,5:3,semisoft,32,1,0,5,0.625000,0
oneirotonic,oneiro-,8,5,3,1,1,1,0,1:1,equalized,8,2,1,3,0.375000,3
oneirotonic,oneiro-,8,5,3,1,2,1,1,2:1,basic,13,2,1,5,0.384615,3
oneirotonic,oneiro-,8,5,3,1,3,1,2,3:1,hard,18,2,1,7,0.388889,3
oneirotonic,oneiro-,8,5,3,1,3,2,2,3:2,soft,21,2,1,8,0.380952,3
oneirotonic,oneiro-,8,5,3,1,4,1,3,4:1,superhard,23,2,1,9,0.391304,3
oneirotonic,oneiro-,8,5,3,1,4,3,3,4:3,supersoft,29,2,1,11,0.379310,3
oneirotonic,oneiro-,8,5,3,1,5,2,3,5:2,semihard,31,2,1,12,0.387097,3
oneirotonic,oneiro-,8,5,3,1,5,3,3,5:3,semisoft,34,2,1,13,0.382353,3
ekic,ek-,8,6,2,2,1,1,0,1:1,equalized,8,1,0,1,0.250000,2
ekic,ek-,8,6,2,2,2,1,1,2:1,basic,14,1,0,2,0.285714,2
ekic,ek-,8,6,2,2,3,1,2,3:1,hard,20,1,0,3,0.300000,2
ekic,ek-,8,6,2,2,3,2,2,3:2,soft,22,1,0,3,0.272727,2
ekic,ek-,8,6,2,2,4,1,3,4:1,superhard,26,1,0,4,0.307692,2
ekic,ek-,8,6,2,2,4,3,3,4:3,supersoft,30,1,0,4,0.266667,2
ekic,ek-,8,6,2,2,5,2,3,5:2,semihard,34,1,0,5,0.294118,2
ekic,ek-,8,6,2,2,5,3,3,5:3,semisoft,36,1,0,5,0.277778,2
pine,pine-,8,7,1,1,1,1,0,1:1,equalized,8,1,0,1,0.125000,6
pine,pine-,8,7,1,1,2,1,1,2:1,basic,15,1,0,2,0.133333,6
pine,pine-,8,7,1,1,3,1,2,3:1,hard,22,1,0,3,0.136364,6
pine,pine-,8,7,1,1,3,2,2,3:2,soft,23,1,0,3,0.130435,6
pine,pine-,8,7,1,1,4,1,3,4:1,superhard,29,1,0,4,0.137931,6
pine,pine-,8,7,1,1,4,3,3,4:3,supersoft,31,1,0,4,0.129032,6
pine,pine-,8,7,1,1,5,2,3,5:2,semihard,37,1,0,5,0.135135,6
pine,pine-,8,7,1,1,5,3,3,5:3,semisoft,38,1,0,5,0.131579,6
antisubneutralic,ablu-,9,1,8,1,1,1,0,1:1,equalized,9,1,7,8,0.888889,7
antisubneutralic,ablu-,9,1,8,1,2,1,1,2:1,basic,10,1,7,9,0.900000,7
antisubneutralic,ablu-,9,1,8,1,3,1,2,3:1,hard,11,1,7,10,0.909091,7
antisubneutralic,ablu-,9,1,8,1,3,2,2,3:2,soft,19,1,7,17,0.894737,7
antisubneutralic,ablu-,9,1,8,1,4,1,3,4:1,superhard,12,1,7,11,0.916667,7
antisubneutralic,ablu-,9,1,8,1,4,3,3,4:3,supersoft,28,1,7,25,0.892857,7
antisubneutralic,ablu-,9,1,8,1,5,2,3,5:2,semihard,21,1,7,19,0.904762,7
antisubneutralic,ablu-,9,1,8,1,5,3,3,5:3,semisoft,29,1,7,26,0.896552,7
balzano,bal-,9,2,7,1,1,1,0,1:1,equalized,9,1,3,4,0.444444,4
balzano,bal-,9,2,7,1,2,1,1,2:1,basic,11,1,3,5,0.454545,4
balzano,bal-,9,2,7,1,3,1,2,3:1,hard,13,1,3,6,0.461538,4
balzano,bal-,9,2,7,1,3,2,2,3:2,soft,20,1,3,9,0.450000,4
balzano,bal-,9,2,7,1,4,1,3,4:1,superhard,15,1,3,7,0.466667,4
balzano,bal-,9,2,7,1,4,3,3,4:3,supersoft,29,1,3,13,0.448276,4
balzano,bal-,9,2,7,1,5,2,3,5:2,semihard,24,1,3,11,0.458333,4
balzano,bal-,9,2,7,1,5,3,3,5:3,semisoft,31,1,3,14,0.451613,4
tcherepnin,cher-,9,3,6,3,1,1,0,1:1,equalized,9,1,1,2,0.666667,1
